season,team,rank_change,fpi_change,record_before,fpi_before,rank_before,trend_before,wayback_timestamp_before,conference_before,record_after,fpi_after,rank_after,trend_after,wayback_timestamp_after,conference_after
2023,Texas State Bobcats,43,7.3,0-0,-11.6,122,0,20230830055751,Sun Belt,1-0,-4.3,79,43,20230905092550,Sun Belt
2023,Colorado Buffaloes,31,6.1,0-0,-8.1,102,0,20230830055751,Pac-12,1-0,-2,71,31,20230905092550,Pac-12
2021,Rutgers Scarlet Knights,30,6,0-0,-2,76,1,20210904141614,Big Ten,1-0,4,46,29,20210908031230,Big Ten
2022,Arkansas State Red Wolves,29,7,0-0,-10,111,0,20220901143719,Sun Belt,1-0,-3,82,0,20220906040030,Sun Belt
2022,SMU Mustangs,29,7.3999999999999995,0-0,3.2,52,0,20220901143719,American,1-0,10.6,23,0,20220906040030,American
2022,James Madison Dukes,28,8.5,0-0,-13.6,118,0,20220901143719,Sun Belt,1-0,-5.1,90,0,20220906040030,Sun Belt
2021,Army Black Knights,27,7.2,0-0,-5.4,92,1,20210904141614,FBS Indep.,1-0,1.8,65,26,20210908031230,FBS Indep.
2021,Marshall Thundering Herd,27,6.7,0-0,-5.4,93,1,20210904141614,Sun Belt,1-0,1.3,66,26,20210908031230,Sun Belt
2021,Tulane Green Wave,24,3.9000000000000004,0-0,1.8,61,1,20210904141614,American,0-1,5.7,37,23,20210908031230,American
2022,Arizona Wildcats,23,5,0-0,-5.3,92,0,20220901143719,Pac-12,1-0,-0.3,69,0,20220906040030,Pac-12
2023,Jacksonville State Gamecocks,23,4.6,1-0,-14.2,127,3,20230830055751,CUSA,2-0,-9.6,104,20,20230905092550,CUSA
2022,Western Kentucky Hilltoppers,22,4.2,1-0,-2.6,84,0,20220901143719,C-USA,2-0,1.6,62,0,20220906040030,C-USA
2023,Cincinnati Bearcats,19,4.8,0-0,4.3,49,0,20230830055751,Big 12,1-0,9.1,30,19,20230905092550,Big 12
2022,South Alabama Jaguars,19,4.699999999999999,0-0,-9.6,107,0,20220901143719,Sun Belt,1-0,-4.9,88,0,20220906040030,Sun Belt
2022,Syracuse Orange,19,5,0-0,1.4,61,0,20220901143719,ACC,1-0,6.4,42,0,20220906040030,ACC
2022,USC Trojans,19,5.6000000000000005,0-0,7.8,33,0,20220901143719,Pac-12,1-0,13.4,14,0,20220906040030,Pac-12
2022,BYU Cougars,18,4.5,0-0,5.1,46,0,20220901143719,FBS Indep.,1-0,9.6,28,0,20220906040030,FBS Indep.
2022,New Mexico Lobos,18,6.999999999999998,0-0,-17.4,126,0,20220901143719,Mountain West,1-0,-10.4,108,0,20220906040030,Mountain West
2023,Utah State Aggies,18,2,0-0,-10.8,118,1,20230830055751,Mountain West,0-1,-8.8,100,19,20230905092550,Mountain West
2021,Boston College Eagles,17,3.6000000000000005,0-0,3.3,51,0,20210904141614,ACC,1-0,6.9,34,17,20210908031230,ACC
2023,California Golden Bears,17,4.300000000000001,0-0,4.6,48,0,20230830055751,Pac-12,1-0,8.9,31,17,20230905092550,Pac-12
2023,Northern Illinois Huskies,17,2.499999999999999,0-0,-9.2,107,1,20230830055751,MAC,1-0,-6.7,90,18,20230905092550,MAC
2022,Duke Blue Devils,16,4.3999999999999995,0-0,-7.6,99,0,20220901143719,ACC,1-0,-3.2,83,0,20220906040030,ACC
2023,UCF Knights,16,5.4,0-0,7.4,35,0,20230830055751,Big 12,1-0,12.8,19,16,20230905092550,Big 12
2021,Cincinnati Bearcats,15,3.5,0-0,8,32,2,20210904141614,American,1-0,11.5,17,13,20210908031230,American
2021,Kansas State Wildcats,15,3.6,0-0,-0.4,68,0,20210904141614,Big 12,1-0,3.2,53,15,20210908031230,Big 12
2021,Louisiana Tech Bulldogs,15,3.6999999999999993,0-0,-9.7,107,3,20210904141614,C-USA,0-1,-6,92,18,20210908031230,C-USA
2021,Michigan Wolverines,15,3.5999999999999996,0-0,8.3,29,1,20210904141614,Big Ten,1-0,11.9,14,14,20210908031230,Big Ten
2021,Syracuse Orange,15,4.1,0-0,-8.2,100,0,20210904141614,ACC,1-0,-4.1,85,15,20210908031230,ACC
2023,UAB Blazers,15,2.8000000000000003,0-0,-5.2,87,0,20230830055751,American,1-0,-2.4,72,15,20230905092550,American
2023,Washington State Cougars,15,3.9,0-0,-0.9,67,0,20230830055751,Pac-12,1-0,3,52,15,20230905092550,Pac-12
